4024
1942|1942.c
27
1-n3a.bin|0x00000|0x4000|0x40201bab
1-n4.bin|0x04000|0x4000|0xa60ac644
1-n5.bin|0x10000|0x4000|0x835f7b24
1-n6.bin|0x14000|0x2000|0x821c6481
1-n7.bin|0x18000|0x4000|0x5df525e1
1-c11.bin|0x0000|0x4000|0xbd87f06b
1-f2.bin|0x0000|0x2000|0x6ebca191  /* characters */
2-a1.bin|0x0000|0x2000|0x3884d9eb  /* tiles */
2-a2.bin|0x2000|0x2000|0x999cf6e0
2-a3.bin|0x4000|0x2000|0x8edb273a
2-a4.bin|0x6000|0x2000|0x3a2726c3
2-a5.bin|0x8000|0x2000|0x1bd3d8bb
2-a6.bin|0xa000|0x2000|0x658f02c4
2-l1.bin|0x00000|0x4000|0x2528bec6  /* sprites */
2-l2.bin|0x04000|0x4000|0xf89287aa
2-n1.bin|0x08000|0x4000|0x024418f8
2-n2.bin|0x0c000|0x4000|0xe2c7e489
08e_sb-5.bin|0x0000|0x0100|0x93ab8153  /* red component */
09e_sb-6.bin|0x0100|0x0100|0x8ab44f7d  /* green component */
10e_sb-7.bin|0x0200|0x0100|0xf4ade9a4  /* blue component */
f01_sb-0.bin|0x0300|0x0100|0x6047d91b  /* char lookup table */
06d_sb-4.bin|0x0400|0x0100|0x4858968d  /* tile lookup table */
03k_sb-8.bin|0x0500|0x0100|0xf6fad943  /* sprite lookup table */
01d_sb-2.bin|0x0600|0x0100|0x8bb8b3df  /* tile palette selector? (not used */
02d_sb-3.bin|0x0700|0x0100|0x3b0c99af  /* tile palette selector? (not used */
k06_sb-1.bin|0x0800|0x0100|0x712ac508  /* interrupt timing (not used */
01m_sb-9.bin|0x0900|0x0100|0x4921635c  /* video timing? (not used */
1942a|1942.c
27
1-n3.bin|0x00000|0x4000|0x612975f2
1-n4.bin|0x04000|0x4000|0xa60ac644
1-n5.bin|0x10000|0x4000|0x835f7b24
1-n6.bin|0x14000|0x2000|0x821c6481
1-n7.bin|0x18000|0x4000|0x5df525e1
1-c11.bin|0x0000|0x4000|0xbd87f06b
1-f2.bin|0x0000|0x2000|0x6ebca191  /* characters */
2-a1.bin|0x0000|0x2000|0x3884d9eb  /* tiles */
2-a2.bin|0x2000|0x2000|0x999cf6e0
2-a3.bin|0x4000|0x2000|0x8edb273a
2-a4.bin|0x6000|0x2000|0x3a2726c3
2-a5.bin|0x8000|0x2000|0x1bd3d8bb
2-a6.bin|0xa000|0x2000|0x658f02c4
2-l1.bin|0x00000|0x4000|0x2528bec6  /* sprites */
2-l2.bin|0x04000|0x4000|0xf89287aa
2-n1.bin|0x08000|0x4000|0x024418f8
2-n2.bin|0x0c000|0x4000|0xe2c7e489
08e_sb-5.bin|0x0000|0x0100|0x93ab8153  /* red component */
09e_sb-6.bin|0x0100|0x0100|0x8ab44f7d  /* green component */
10e_sb-7.bin|0x0200|0x0100|0xf4ade9a4  /* blue component */
f01_sb-0.bin|0x0300|0x0100|0x6047d91b  /* char lookup table */
06d_sb-4.bin|0x0400|0x0100|0x4858968d  /* tile lookup table */
03k_sb-8.bin|0x0500|0x0100|0xf6fad943  /* sprite lookup table */
01d_sb-2.bin|0x0600|0x0100|0x8bb8b3df  /* tile palette selector? (not used */
02d_sb-3.bin|0x0700|0x0100|0x3b0c99af  /* tile palette selector? (not used */
k06_sb-1.bin|0x0800|0x0100|0x712ac508  /* interrupt timing (not used */
01m_sb-9.bin|0x0900|0x0100|0x4921635c  /* video timing? (not used */
1942b|1942.c
27
srb-03.n3|0x00000|0x4000|0xd9dafcc3
srb-04.n4|0x04000|0x4000|0xda0cf924
srb-05.n5|0x10000|0x4000|0xd102911c
srb-06.n6|0x14000|0x2000|0x466f8248
srb-07.n7|0x18000|0x4000|0x0d31038c
1-c11.bin|0x0000|0x4000|0xbd87f06b
1-f2.bin|0x0000|0x2000|0x6ebca191  /* characters */
2-a1.bin|0x0000|0x2000|0x3884d9eb  /* tiles */
2-a2.bin|0x2000|0x2000|0x999cf6e0
2-a3.bin|0x4000|0x2000|0x8edb273a
2-a4.bin|0x6000|0x2000|0x3a2726c3
2-a5.bin|0x8000|0x2000|0x1bd3d8bb
2-a6.bin|0xa000|0x2000|0x658f02c4
2-l1.bin|0x00000|0x4000|0x2528bec6  /* sprites */
2-l2.bin|0x04000|0x4000|0xf89287aa
2-n1.bin|0x08000|0x4000|0x024418f8
2-n2.bin|0x0c000|0x4000|0xe2c7e489
08e_sb-5.bin|0x0000|0x0100|0x93ab8153  /* red component */
09e_sb-6.bin|0x0100|0x0100|0x8ab44f7d  /* green component */
10e_sb-7.bin|0x0200|0x0100|0xf4ade9a4  /* blue component */
f01_sb-0.bin|0x0300|0x0100|0x6047d91b  /* char lookup table */
06d_sb-4.bin|0x0400|0x0100|0x4858968d  /* tile lookup table */
03k_sb-8.bin|0x0500|0x0100|0xf6fad943  /* sprite lookup table */
01d_sb-2.bin|0x0600|0x0100|0x8bb8b3df  /* tile palette selector? (not used */
02d_sb-3.bin|0x0700|0x0100|0x3b0c99af  /* tile palette selector? (not used */
k06_sb-1.bin|0x0800|0x0100|0x712ac508  /* interrupt timing (not used */
01m_sb-9.bin|0x0900|0x0100|0x4921635c  /* video timing? (not used */
1943|1943.c
37
1943.01|0x00000|0x08000|0xc686cc5c
1943.02|0x10000|0x10000|0xd8880a41
1943.03|0x20000|0x10000|0x3f0ee26c
1943.05|0x00000|0x8000|0xee2bd2d7
1943.04|0x00000|0x8000|0x46cb9d3d  /* characters */
1943.15|0x00000|0x8000|0x6b1a0443  /* bg tiles */
1943.16|0x08000|0x8000|0x23c908c2
1943.17|0x10000|0x8000|0x46bcdd07
1943.18|0x18000|0x8000|0xe6ae7ba0
